dataset,seed,rmse,seconds
pmlb/687_sleuth_ex1605,2,0.732849,2.9
pmlb/663_rabe_266,0,0.032527,2.3
pmlb/663_rabe_266,1,0.020354,1.8
pmlb/663_rabe_266,2,0.016602,2.3
pmlb/1096_FacultySalaries,0,0.394313,3.0
pmlb/523_analcatdata_neavote,0,0.211842,0.7
pmlb/1096_FacultySalaries,1,0.570490,1.3
pmlb/523_analcatdata_neavote,1,0.217755,0.7
pmlb/1096_FacultySalaries,2,0.403114,1.2
pmlb/523_analcatdata_neavote,2,0.226653,0.7
pmlb/485_analcatdata_vehicle,0,0.784843,0.8
pmlb/485_analcatdata_vehicle,1,0.505207,0.9
pmlb/485_analcatdata_vehicle,2,0.469473,0.9
pmlb/228_elusage,0,0.526884,2.2
pmlb/228_elusage,1,0.340904,2.6
pmlb/228_elusage,2,0.383443,2.2
pmlb/192_vineyard,0,0.388162,1.3
pmlb/192_vineyard,1,0.561514,1.3
pmlb/192_vineyard,2,1.080258,1.1
