suite,dataset,model,rmse,seconds
ctr23,kings_county,DecisionTree,0.583530,0
ctr23,kings_county,MLP,28.621817,0
ctr23,brazilian_houses,FIGS,0.131071,0
ctr23,brazilian_houses,RuleFit,0.133003,5
ctr23,brazilian_houses,HSTree,0.160036,0
ctr23,brazilian_houses,DecisionTree,0.136111,0
ctr23,brazilian_houses,MLP,18.938492,0
ctr23,fps_benchmark,FIGS,0.317790,1
ctr23,fps_benchmark,RuleFit,0.563558,15
ctr23,fps_benchmark,HSTree,0.569795,0
ctr23,fps_benchmark,DecisionTree,0.569795,0
ctr23,fps_benchmark,MLP,1080.749031,0
ctr23,health_insurance,FIGS,0.782489,1
ctr23,health_insurance,RuleFit,0.788621,52
ctr23,health_insurance,HSTree,0.793898,0
ctr23,health_insurance,DecisionTree,0.793795,0
ctr23,health_insurance,MLP,0.821773,1
ctr23,fifa,FIGS,0.522006,1
ctr23,fifa,RuleFit,0.694817,310
ctr23,fifa,HSTree,0.526774,0
ctr23,fifa,DecisionTree,0.541855,0
ctr23,fifa,MLP,0.590118,2
ctr23,Moneyball,FIGS,0.327213,0
ctr23,Moneyball,RuleFit,0.252635,1
ctr23,Moneyball,HSTree,0.352177,0
ctr23,Moneyball,DecisionTree,0.353792,0
ctr23,Moneyball,MLP,0.497720,0
ctr23,energy_efficiency,FIGS,0.052825,0
ctr23,energy_efficiency,RuleFit,0.147079,3
ctr23,energy_efficiency,HSTree,0.117592,0
ctr23,energy_efficiency,DecisionTree,0.116907,0
ctr23,energy_efficiency,MLP,0.397265,0
ctr23,forest_fires,FIGS,2.154649,0
ctr23,forest_fires,RuleFit,2.396132,0
ctr23,forest_fires,HSTree,2.362452,0
ctr23,forest_fires,DecisionTree,2.156641,0
ctr23,forest_fires,MLP,2.420008,0
ctr23,student_performance_por,FIGS,0.903688,0
ctr23,student_performance_por,RuleFit,0.889176,1
ctr23,student_performance_por,HSTree,0.896878,0
ctr23,student_performance_por,DecisionTree,1.074726,0
ctr23,student_performance_por,MLP,0.920081,0
ctr23,cars,FIGS,0.240541,0
ctr23,cars,RuleFit,0.245481,1
ctr23,cars,HSTree,0.267587,0
ctr23,cars,DecisionTree,0.267587,0
ctr23,cars,MLP,1.561853,0
ctr23,space_ga,FIGS,0.680286,0
ctr23,space_ga,RuleFit,0.703892,2
ctr23,space_ga,HSTree,0.703994,0
ctr23,space_ga,DecisionTree,0.701789,0
ctr23,space_ga,MLP,2642.836146,1
