model,dataset,n,p,lam,objective,errors,leaves,seconds,wall,status,size,iterations,binary_features,lb,ub,known_objective,known_certified,verdict
pygosdt_v1_flat,iris,,,0.05,0.19,6.0,3.0,0.0013355000410228,,optimal,,,,,,0.19,True,ok
pygosdt_v1_flat,iris,,,0.02,0.1,6.0,3.0,0.0241073750075884,,optimal,,,,,,0.1,True,ok
pygosdt_v1_flat,iris,,,0.01,0.06,3.0,4.0,0.1355291670188307,,optimal,,,,,,0.06,True,ok
pygosdt_v1_flat,iris,,,0.005,0.0383333333333333,2.0,5.0,0.6260074580204673,,optimal,,,,,,0.038333,True,ok
pygosdt_v1_flat,monk_2,,,0.1,0.478698224852071,64.0,1.0,0.0005512499483302,,optimal,,,,,,0.478698,True,ok
pygosdt_v1_flat,monk_2,,,0.05,0.428698224852071,64.0,1.0,0.003843875019811,,optimal,,,,,,0.428698,True,ok
pygosdt_v1_flat,monk_2,,,0.02,0.3589349112426035,37.0,7.0,0.048977458034642,,optimal,,,,,,0.358935,True,ok
pygosdt_v1_flat,monk_2,,,0.01,0.2650887573964497,11.0,20.0,0.1403430000063963,,optimal,,,,,,0.265089,True,ok
pygosdt_v1_flat,monk_2,,,0.005,0.1527514792899408,3.0,27.0,0.2300769580178894,,optimal,,,,,,0.152751,True,ok
pygosdt_v1_flat,tic-tac-toe,,,0.1,0.4465553235908142,332.0,1.0,0.0010158749646507,,optimal,,,,,,0.446555,True,ok
pygosdt_v1_flat,tic-tac-toe,,,0.05,0.3965553235908142,332.0,1.0,0.0197269589989446,,optimal,,,,,,0.396555,True,ok
pygosdt_v1_flat,tic-tac-toe,,,0.02,0.3183298538622129,190.0,6.0,1.8589495419873856,,optimal,,,,,,0.31833,True,ok
pygosdt_v1_flat,tic-tac-toe,,,0.01,0.2507515657620042,154.0,9.0,13.183316499984358,,optimal,,,,,,0.250752,True,ok
pygosdt_v1_flat,tic-tac-toe,,,0.005,0.1542797494780793,52.0,20.0,30.0,,time,,,,,,0.15428,True,ok
pygosdt_v1_flat,gaussian_1k,,,0.1,0.397,297.0,1.0,0.008537666988559,,optimal,,,,,,0.397,True,ok
pygosdt_v1_flat,gaussian_1k,,,0.05,0.275,125.0,3.0,0.8021729160100222,,optimal,,,,,,0.275,True,ok
pygosdt_v1_flat,gaussian_1k,,,0.02,0.185,125.0,3.0,18.904580499976873,,optimal,,,,,,0.185,True,ok
pygosdt_v1_flat,gaussian_1k,,,0.01,0.307,297.0,1.0,30.0,,time,,,,,,0.155,True,worse_than_known
pygosdt_v1_flat,gaussian_1k,,,0.005,0.302,297.0,1.0,30.0,,time,,,,,,0.14,True,worse_than_known
pygosdt_v1_flat,fico_1k,,,0.1,0.491,291.0,2.0,10.00811049999902,,optimal,,,,,,0.491,True,ok
pygosdt_v1_flat,fico_1k,,,0.05,0.391,291.0,2.0,30.0,,time,,,,,,0.391,False,ok
pygosdt_v1_flat,fico_1k,,,0.02,0.3309999999999999,291.0,2.0,30.0,,time,,,,,,0.331,False,ok
pygosdt_v1_flat,fico_1k,,,0.01,0.311,291.0,2.0,30.0,,time,,,,,,0.311,False,ok
pygosdt_v1_flat,fico_1k,,,0.005,0.301,291.0,2.0,30.0,,time,,,,,,0.301,False,ok
pygosdt_v1_flat,sine_1k,,,0.1,0.595,495.0,1.0,2.9199975000228733,,optimal,,,,,,0.595,True,ok
pygosdt_v1_flat,sine_1k,,,0.05,0.545,495.0,1.0,30.0,,time,,,,,,0.545,False,ok
